main.cpp:7:main| ***** main start *****  
skp_lua_call.cpp:174:skp_lua_bindIn|*******end skp_lua_bindIn*********** 
skp_lua_log.cpp:90:lua_log_print|  
skp_lua_call.cpp:181:skp_lua_bindOut|*******start skp_lua_bindOut*********** 
skp_lua_call.cpp:200:skp_lua_bindOut|luaIndex = -1 
skp_lua_call.cpp:282:skp_lua_bindOut|index[1], name[FIELD_INT32] type[5], size[4], data[25] 
skp_lua_call.cpp:409:skp_lua_bindOut|bindOut size = [1] 
skp_lua_call.cpp:410:skp_lua_bindOut|*******end skp_lua_bindOut*********** 
skp_lua.cpp:81:lua_test_1|10 + 15 = 25 
skp_lua_log.cpp:90:lua_log_print|  
skp_lua_log.cpp:90:lua_log_print|  
skp_lua_call.cpp:49:skp_lua_bindIn|*******star skp_lua_bindIn*********** 
skp_lua_call.cpp:108:skp_lua_bindIn|index[1], name[FIELD_INT32] type[5], size[4], data[10] 
skp_lua_call.cpp:108:skp_lua_bindIn|index[2], name[FIELD_INT32] type[5], size[4], data[15] 
skp_lua_call.cpp:173:skp_lua_bindIn|bindIn size = [2] 
skp_lua_call.cpp:174:skp_lua_bindIn|*******end skp_lua_bindIn*********** 
skp_lua_log.cpp:90:lua_log_print|  
skp_lua_call.cpp:181:skp_lua_bindOut|*******start skp_lua_bindOut*********** 
skp_lua_call.cpp:200:skp_lua_bindOut|luaIndex = -1 
skp_lua_call.cpp:282:skp_lua_bindOut|index[1], name[FIELD_INT32] type[5], size[4], data[25] 
skp_lua_call.cpp:409:skp_lua_bindOut|bindOut size = [1] 
skp_lua_call.cpp:410:skp_lua_bindOut|*******end skp_lua_bindOut*********** 
skp_lua.cpp:106:lua_test_1|10 + 15 = 25 
skp_lua_log.cpp:90:lua_log_print|  
skp_lua_log.cpp:90:lua_log_print|  
skp_lua_call.cpp:49:skp_lua_bindIn|*******star skp_lua_bindIn*********** 
skp_lua_call.cpp:80:skp_lua_bindIn|index[1], name[FIELD_INT8] type[1], size[1], data[1] 
skp_lua_call.cpp:87:skp_lua_bindIn|index[2], name[FIELD_UINT8] type[2], size[1], data[2] 
skp_lua_call.cpp:94:skp_lua_bindIn|index[3], name[FIELD_INT16] type[3], size[2], data[3] 
skp_lua_call.cpp:101:skp_lua_bindIn|index[4], name[FIELD_UINT16] type[4], size[2], data[4] 
skp_lua_call.cpp:108:skp_lua_bindIn|index[5], name[FIELD_INT32] type[5], size[4], data[5] 
skp_lua_call.cpp:115:skp_lua_bindIn|index[6], name[FIELD_UINT32] type[6], size[4], data[6] 
skp_lua_call.cpp:122:skp_lua_bindIn|index[7], name[FIELD_INT64] type[7], size[8], data[7] 
skp_lua_call.cpp:129:skp_lua_bindIn|index[8], name[FIELD_UINT64] type[8], size[8], data[8] 
skp_lua_call.cpp:136:skp_lua_bindIn|index[9], name[FIELD_DOUBLE] type[9], size[8], data[9.000000] 
skp_lua_call.cpp:143:skp_lua_bindIn|index[10], name[FIELD_CHAR] type[10], size[5], data[12345] 
skp_lua_call.cpp:151:skp_lua_bindIn|index[11], name[FIELD_BINARY] type[11], size[6] 
skp_lua_call.cpp:152:skp_lua_bindIn|**********start data********** 
skp_lua_call.cpp:156:skp_lua_bindIn|0x61 
skp_lua_call.cpp:156:skp_lua_bindIn|0x62 
skp_lua_call.cpp:156:skp_lua_bindIn|0 
skp_lua_call.cpp:156:skp_lua_bindIn|0x63 
skp_lua_call.cpp:156:skp_lua_bindIn|0x64 
skp_lua_call.cpp:156:skp_lua_bindIn|0x65 
skp_lua_call.cpp:158:skp_lua_bindIn|**********end data********** 
skp_lua_call.cpp:173:skp_lua_bindIn|bindIn size = [11] 
skp_lua_call.cpp:174:skp_lua_bindIn|*******end skp_lua_bindIn*********** 
skp_lua_log.cpp:90:lua_log_print|            
skp_lua_call.cpp:181:skp_lua_bindOut|*******start skp_lua_bindOut*********** 
skp_lua_call.cpp:200:skp_lua_bindOut|luaIndex = -11 
